num_distr,mouse.time,mouse.clicked_name,,,
10,1.7115236,['target'],,,
10,2.4230411,['target'],,,
10,1.4069511,['target'],,,
10,5.1681901,['target'],,,
10,1.7005793,['target'],,,
10,1.5272591,['target'],,,
5,2.5646299,[],,,
10,2.4011966,['target'],,,
10,1.5928889,['target'],,,
5,1.544188,['target'],,,In Milliseconds
5,1.7134336,['target'],meanRT_5,2.279788463,2297.788
10,2.1067719,['target'],meanRT_10,2.281781416,2281.781
5,1.6931363,['target'],,,
10,2.1455161,['target'],Slope,-3.2014,3201.4
10,3.0055682,['target'],,,
5,1.9518651,['target'],,,
5,1.6419953,['target'],,,
5,1.6440645,['target'],,,
10,1.8706284,['target'],,,
5,2.274021,[],,,
5,2.3135329,['target'],,,
10,1.4529387,['target'],,,
10,2.6862138,['target'],,,
10,2.4336394,['target'],,,
10,5.123685,['target'],,,
5,2.1170712,['target'],,,
5,1.6609945,['target'],,,
5,1.7056623,['target'],,,
5,1.7574319,['target'],,,
10,2.7868158,['target'],,,
10,3.8486544,['target'],,,
10,1.8182172,['target'],,,
10,1.8166786,['target'],,,
5,2.1820827,['target'],,,
5,2.1669055,['target'],,,
10,3.0757121,['target'],,,
10,2.4091752,['target'],,,
10,3.6517904,['target'],,,
10,2.1930296,['target'],,,
10,3.87709,['target'],,,
10,1.9146482,['target'],,,
10,2.1424171,['target'],,,
10,5.3653934,['target'],,,
10,2.2709018,['target'],,,
5,2.3141003,['target'],,,
5,2.6266963,['target'],,,
5,2.3454785,['target'],,,
5,1.8810037,['target'],,,
5,1.9054891,['target'],,,
5,1.9270808,['target'],,,
5,2.1793707,['target'],,,
5,1.5406768,['target'],,,
10,2.1979086,['target'],,,
10,1.5370725,['target'],,,
5,1.8704715,['target'],,,
5,2.4938324,['target'],,,
5,2.7054652,['target'],,,
5,2.3921843,['target'],,,
10,1.7681636,['target'],,,
10,2.6005412,['target'],,,
10,2.2822164,['target'],,,
10,1.7503257,['target'],,,
10,2.5329928,['target'],,,
10,2.228896,['target'],,,
5,1.5104229,['target'],,,
10,1.3951222,[],,,
10,2.5620683,['target'],,,
10,2.4554095,['target'],,,
10,2.4978682,['target'],,,
10,2.3116492,['target'],,,
10,1.5870389,['target'],,,
5,3.078382,['target'],,,
5,1.8242937,['target'],,,
10,2.1402735,['target'],,,
10,2.655174,['target'],,,
5,2.4977001,['target'],,,
5,1.7389155,['target'],,,
5,1.7149675,['target'],,,
5,2.1801421,['target'],,,
5,2.3421344,['target'],,,
10,3.0963388,['target'],,,
10,1.998499,['target'],,,
5,3.8410586,['target'],,,
10,2.0469479,['target'],,,
10,2.510893,['target'],,,
5,2.948572,['target'],,,
10,3.4032518,['target'],,,
10,1.8042357,['target'],,,
5,2.2474971,['target'],,,
10,1.7739883,['target'],,,
10,2.4417453,['target'],,,
10,2.8446611,['target'],,,
5,2.9605203,['target'],,,
5,2.3491878,['target'],,,
10,1.8646383,['target'],,,
10,2.524815,['target'],,,
10,2.6432286,['target'],,,
10,2.6002668,['target'],,,
10,3.1546458,['target'],,,
5,2.5269486,['target'],,,
10,2.2113344,['target'],,,
10,2.3261774,['target'],,,
10,2.1561906,['target'],,,
5,2.1269899,['target'],,,
10,2.0147535,['target'],,,
5,1.424448,['target'],,,
5,1.4022862,['target'],,,
10,2.3758797,['target'],,,
5,2.1494913,['target'],,,
10,1.4914213,['target'],,,
5,1.9431355,['target'],,,
10,3.2434748,['target'],,,
10,2.7375408,['target'],,,
10,2.2560009,['target'],,,
5,1.7691757,['target'],,,
5,3.4626675,['target'],,,
5,3.0892367,['target'],,,
5,1.7752072,['target'],,,
10,2.7419442,['target'],,,
10,3.0005156,['target'],,,
5,1.6818496,['target'],,,
10,6.514102,['target'],,,
10,2.0843183,['target'],,,
5,1.589575,['target'],,,
10,1.7398886,['target'],,,
5,1.7114149,['target'],,,
5,2.825913,['target'],,,
5,1.2423812,['target'],,,
5,1.7475307,['target'],,,
5,1.8854153,['target'],,,
5,1.6016511,['target'],,,
10,1.611891,['target'],,,
5,1.9833679,['target'],,,
5,1.6402231,['target'],,,
5,1.9501984,['target'],,,
10,2.1545056,['target'],,,
10,1.5409301,['target'],,,
10,1.6718016,['target'],,,
5,2.2620127,['target'],,,
10,0.4385792,[],,,
10,2.1285128,['target'],,,
10,2.0105341,['target'],,,
10,2.3400245,['target'],,,
5,1.5707241,['target'],,,
10,2.3070148,['target'],,,
10,2.3361636,['target'],,,
10,2.7633287,['target'],,,
5,1.747095,['target'],,,
10,1.9227211,['target'],,,
5,3.5453758,['target'],,,
10,5.1417694,['target'],,,
5,2.2807777,['target'],,,
5,1.9263864,['target'],,,
10,1.9535913,['target'],,,
5,1.8907672,['target'],,,
10,2.4869262,['target'],,,
10,3.7776636,['target'],,,
5,2.9143111,['target'],,,
5,7.1641079,['target'],,,
5,2.5277449,['target'],,,
5,1.5940643,['target'],,,
5,1.9287174,['target'],,,
5,1.6364695,['target'],,,
10,1.7869893,['target'],,,
10,2.4411119,['target'],,,
10,2.0444109,['target'],,,
5,2.5592524,['target'],,,
10,2.9416179,['target'],,,
10,2.0347968,['target'],,,
10,2.6175971,['target'],,,
10,1.5684963,['target'],,,
5,2.3175796,['target'],,,
5,3.3274833,['target'],,,
5,1.8097351,['target'],,,
10,1.8823485,['target'],,,
10,1.8589732,['target'],,,
10,2.4078881,['target'],,,
10,2.4366634,['target'],,,
10,2.0926428,['target'],,,
10,2.1954978,['target'],,,
5,1.429084,['target'],,,
10,1.3333235,['target'],,,
5,1.3652675,['target'],,,
10,1.3284725,['target'],,,
10,1.8843471,['target'],,,
5,2.0817358,['target'],,,
5,2.3214149,['target'],,,
10,2.7102404,['target'],,,
5,1.8680588,['target'],,,
10,1.9346914,['target'],,,
5,2.1956064,['target'],,,
10,1.9205333,['target'],,,
5,1.6797058,['target'],,,
5,1.6937475,['target'],,,
10,1.9534438,['target'],,,
10,1.7245906,['target'],,,
5,1.9622418,['target'],,,
5,2.0817491,['target'],,,
5,2.3829192,['target'],,,
